code,description,outcome,title
COSC1078,"This course aims to provide you with the foundation knowledge of contemporary Information Technology areas, software, applications and job skills required to enter the IT market. A major component of the course is the practical application of the knowledge gained from the theoretical content. The material covers a broad range of introductory Information Technology concepts","This course contributes to the following program learning outcomes BP162 Bachelor of Information Technology: Enabling Knowledge: You will gain skills as you apply knowledge effectively in diverse contexts. Enabling Knowledge: You will gain skills as you apply knowledge effectively in diverse contexts. Critical Analysis: You will learn to accurately and objectively examine and consider computer science and information technology (IT) topics, evidence, or situations, in particular to: analyse and model requirements and constraints for the purpose of designing and implementing software artefacts and IT systems. Critical Analysis: You will learn to accurately and objectively examine and consider computer science and information technology (IT) topics, evidence, or situations, in particular to: analyse and model requirements and constraints for the purpose of designing and implementing software artefacts and IT systems. Problem Solving: Your capability to analyse problems and synthesise suitable solutions will be extended as you learn to: design and implement software solutions that accommodate specified requirements and constraints, based on analysis or modelling or requirements specification. Problem Solving: Your capability to analyse problems and synthesise suitable solutions will be extended as you learn to: design and implement software solutions that accommodate specified requirements and constraints, based on analysis or modelling or requirements specification. Communication: You will learn to communicate effectively with a variety of audiences through a range of modes and media, in particular to: present a clear, coherent and independent exposition of software applications, alternative IT solutions, and decision recommendations to both IT and non-IT personnel via technical reports of professional standard and technical presentations. Communication: You will learn to communicate effectively with a variety of audiences through a range of modes and media, in particular to: present a clear, coherent and independent exposition of software applications, alternative IT solutions, and decision recommendations to both IT and non-IT personnel via technical reports of professional standard and technical presentations. Team Work: You will learn to work as an effective and productive team member in a range of professional and social situations, in particular to: work effectively in different roles, to form, manage, and successfully produce outcomes from teams, whose members may have diverse cultural backgrounds and life circumstances, and differing levels of technical expertise. Team Work: You will learn to work as an effective and productive team member in a range of professional and social situations, in particular to: work effectively in different roles, to form, manage, and successfully produce outcomes from teams, whose members may have diverse cultural backgrounds and life circumstances, and differing levels of technical expertise. Upon successful completion of this course you should be able to: CLO 1: describe and apply basic concepts of contemporary technologies. CLO 2: analyse human and social contexts of technological innovations. CLO 3: apply the knowledge of various ICT components to create a prototype of a product/service. CLO 4: identify principles of collaborative work and explain potential conflict resolution techniques. CLO 5: participate effectively and creatively in a team environment. CLO 6: prepare a professional and comprehensively written IT report within provided parameters. CLO 1: describe and apply basic concepts of contemporary technologies. CLO 2: analyse human and social contexts of technological innovations. CLO 3: apply the knowledge of various ICT components to create a prototype of a product/service. CLO 4: identify principles of collaborative work and explain potential conflict resolution techniques. CLO 5: participate effectively and creatively in a team environment. CLO 6: prepare a professional and comprehensively written IT report within provided parameters",Introduction to Information Technology
COSC2625,"IT today is everywhere and is involved in many aspects of life, including mobile devices, electronic voting and robotic fish. Many advances have come from people passionately following an inspiration, and developing it into a concrete outcome. This course is an opportunity for you to pursue an idea in IT and to work with a team of like-minded people to develop it. You will be provided with assistance to choose an appropriate topic, find a project team, generate a project plan, and to implement your project. This course is designed to engage and inspire you with the wide world of IT, with a particular emphasis on finding appropriate tools, methodologies and techniques to meet your own personal challenge. This course will give you substantial hands-on, practical learning experiences and aims to motivate you through engagement in the creative, explorative and meaningful development of technological artefacts that operate in real world contexts","This course contributes to the following program learning outcomes for BP162 Bachelor of Information Technology and BP232 Bachelor of Technology (Computing Studies): You will gain skills as you apply knowledge effectively in diverse contexts. You will learn to accurately and objectively examine and consider computer science and information technology (IT) topics, evidence, or situations, in particular to: - analyse and model requirements and constraints for the purpose of designing and implementing software artefacts and IT systems. - evaluate and compare designs of software artefacts and IT systems on the basis of organisational and user requirements. Your capability to analyse problems and synthesise suitable solutions will be extended as you learn to: design and implement software solutions that accommodate specified requirements and constraints, based on analysis or modelling or requirements specification. You will learn to communicate effectively with a variety of audiences through a range of modes and media, in particular to: present a clear, coherent and independent exposition of software applications, alternative IT solutions, and decision recommendations to both IT and non-IT personnel via technical reports of professional standard and technical presentations. You will learn to work as an effective and productive team member in a range of professional and social situations, in particular to: work effectively in different roles, to form, manage, and successfully produce outcomes from teams, whose members may have diverse cultural backgrounds and life circumstances, and differing levels of technical expertise. Upon successful completion of this course you should be able to: locate and assess tools and resources for IT systems, apply knowledge to a wide variety of experiences in programming or scripting, networks and databases to design and develop IT systems. identify, decompose and solve problems related to creation of IT system prototypes. effectively communicate project outcomes in a written report. work independently and collaboratively to develop small IT systems. evaluate and provide feedback on the work of your peers. locate and assess tools and resources for IT systems, apply knowledge to a wide variety of experiences in programming or scripting, networks and databases to design and develop IT systems. identify, decompose and solve problems related to creation of IT system prototypes. effectively communicate project outcomes in a written report. work independently and collaboratively to develop small IT systems. evaluate and provide feedback on the work of your peers",Building IT Systems
COSC2626,"Cloud Computing is a large-scale distributed computing paradigm which has become a driving force for information technology over the past several years. The exponential growth data size in scientific instrumentation/simulation and social media has triggered the wider use of cloud computing services. This course covers topics and technologies related to Cloud Computing and their practical implementations. You should explore different architectural models of cloud computing, the concepts of virtualisation and cloud orchestration. You should gain hands-on experience with various features of popular cloud platforms such as Google App Engine and Amazon Web Service throughout the lectures, tutorials, and laboratory sessions. Advanced cloud programming paradigms such as Hadoop’s MapReduce is also included in the course. You should also learn the concept of modern Big Data analysis on cloud platforms using various data mining tools and techniques. The lab sessions cover cloud application development and deployment, use of cloud storage, creation and configuration of virtual machines and data analysis on cloud using data mining tools. Different application scenarios from popular domains that leverage the cloud technologies such as remote healthcare and social networks will be explained. The theoretical knowledge, practical sessions and assignments aim to help you to build your skills to develop large-scale industry standard applications using cloud platforms and tools. This course focuses on learning emerging issues related to Cloud computing technology. The objectives are: Understand various basic concepts related to cloud computing technologies. Understand the architecture and concept of different cloud models: IaaS, PaaS, SaaS. Understand big data analysis tools and techniques. Understand the underlying principle of cloud virtualization, cloud storage, data management and data visualization. Understand different cloud programming platforms and tools. Have details knowledge on reading and writing in cloud storage. Be familiar with application development and deployment using cloud platforms. Create application by utilizing cloud platforms such as Google app Engine and Amazon Web Services (AWS) Learn to develop scalable applications using AWS features. Learn basic concepts of MapReduce programming models for big data analysis on cloud. Understand various basic concepts related to cloud computing technologies. Understand the architecture and concept of different cloud models: IaaS, PaaS, SaaS. Understand big data analysis tools and techniques. Understand the underlying principle of cloud virtualization, cloud storage, data management and data visualization. Understand different cloud programming platforms and tools. Have details knowledge on reading and writing in cloud storage. Be familiar with application development and deployment using cloud platforms. Create application by utilizing cloud platforms such as Google app Engine and Amazon Web Services (AWS) Learn to develop scalable applications using AWS features. Learn basic concepts of MapReduce programming models for big data analysis on cloud","This course is an option course so it is not required to contribute to the development of program learning outcomes (PLOs) though it may assist your achievement of several PLOs such as: Enabling Knowledge: Enabling Knowledge: You will gain skills as you apply knowledge effectively in diverse contexts. Critical Analysis: Critical Analysis: You will learn to accurately and objectively examine and consider computer science and information technology (IT) topics, evidence, or situations, in particular to: analyse and model requirements and constraints for the purpose of designing and implementing software artefacts and IT systems. Problem Solving: Problem Solving: Your capability to analyse problems and synthesise suitable solutions will be extended as you learn to: design and implement software solutions that accommodate specified requirements and constraints, based on analysis or modelling or requirements specification. Communication: Communication: You will learn to communicate effectively with a variety of audiences through a range of modes and media, in particular to: present a clear, coherent and independent exposition of software applications, alternative IT solutions, and decision recommendations to both IT and non-IT personnel via technical reports of professional standard and technical presentations. Team Work: Team Work: You will learn to work as an effective and productive team member in a range of professional and social situations, in particular to: work effectively in different roles, to form, manage, and successfully produce outcomes from teams, whose members may have diverse cultural backgrounds and life circumstances, and differing levels of technical expertise. Upon successful completion of this course you should be able to: CLO 1: Develop and deploy cloud application using popular cloud platforms, CLO 2: Design and develop highly scalable cloud-based applications by creating and configuring virtual machines on the cloud and building private cloud. CLO 3: Explain and identify the techniques of big data analysis in cloud. CLO 4: Compare, contrast, and evaluate the key trade-offs between multiple approaches to cloud system design, and Identify appropriate design choices when solving real-world cloud computing problems. CLO 5: Write comprehensive case studies analysing and contrasting different cloud computing solutions. CLO 6: Make recommendations on cloud computing solutions for an enterprise. CLO 1: Develop and deploy cloud application using popular cloud platforms, CLO 2: Design and develop highly scalable cloud-based applications by creating and configuring virtual machines on the cloud and building private cloud. CLO 3: Explain and identify the techniques of big data analysis in cloud. CLO 4: Compare, contrast, and evaluate the key trade-offs between multiple approaches to cloud system design, and Identify appropriate design choices when solving real-world cloud computing problems. CLO 5: Write comprehensive case studies analysing and contrasting different cloud computing solutions. CLO 6: Make recommendations on cloud computing solutions for an enterprise",Cloud Computing
COSC2123,"The main objective of this course is for you to acquire the tools and techniques necessary to propose practical algorithmic solutions to real-world problems which still allow strong theoretical bounds on time and space usage. You will study a broad variety of important and useful algorithms and data structures in different areas of applications, and will concentrate on fundamental algorithms. You will spend a significant time on each algorithm to understand its essential characteristics and to respect its subtleties","This course contributes to the following Program Learning Outcomes (PLOs) for BP094 Bachelor of Computer Science, BP096 Bachelor of Software Engineering, BP215 Bachelor of Information Technology (Games and Graphics Programming), BH094 Bachelor of Engineering (Electronic & Communication Engineering (Hons)/Bachelor of Computer Science, BH091 - Bachelor of Engineering (Computer and Network Engineering) (Honours)/Bachelor of Computer Science, MC061 Master of Computer Science, and MC208 Master of Information Technology: Enabling Knowledge: You will gain skills as you apply knowledge effectively in diverse contexts. Enabling Knowledge: You will gain skills as you apply knowledge with creativity and initiative to new situations. In doing so, you will: Demonstrate mastery of a body of knowledge that includes recent developments in computer science and information technology; Recognise and use research principles and methods applicable to computer science and information technology. Enabling Knowledge: You will gain skills as you apply knowledge effectively in diverse contexts. Enabling Knowledge: You will gain skills as you apply knowledge with creativity and initiative to new situations. In doing so, you will: Demonstrate mastery of a body of knowledge that includes recent developments in computer science and information technology; Recognise and use research principles and methods applicable to computer science and information technology. Critical Analysis: You will learn to accurately and objectively examine and consider computer science and information technology (IT) topics, evidence, or situations, in particular to: (i) Analyse and model requirements and constraints for the purpose of designing and implementing software artefacts and IT systems; (ii) Evaluate and compare designs of software artefacts and IT systems on the basis of organisational and user requirements. Critical Analysis: You will learn to accurately and objectively examine and consider computer science and information technology (IT) topics, evidence, or situations, in particular to: (i) Analyse and model requirements and constraints for the purpose of designing and implementing software artefacts and IT systems; (ii) Evaluate and compare designs of software artefacts and IT systems on the basis of organisational and user requirements. Problem Solving: Your capability to analyse problems and synthesise suitable solutions will be extended as you learn to: Design and implement software solutions that accommodate specified requirements and constraints, based on analysis or modelling or requirements specification. Problem Solving: Your capability to analyse problems and synthesise suitable solutions will be extended as you learn to: Design and implement software solutions that accommodate specified requirements and constraints, based on analysis or modelling or requirements specification. Communication: You will learn to communicate effectively with a variety of audiences through a range of modes and media, in particular to: Present a clear, coherent and independent exposition of software applications, alternative IT solutions, and decision recommendations to both IT and non-IT personnel via technical reports of professional standard and technical presentations. Interpret abstract theoretical propositions, choose methodologies, justify conclusions and defend professional decisions to both IT and non-IT personnel via technical reports of professional standard and technical presentations. Communication: You will learn to communicate effectively with a variety of audiences through a range of modes and media, in particular to: Present a clear, coherent and independent exposition of software applications, alternative IT solutions, and decision recommendations to both IT and non-IT personnel via technical reports of professional standard and technical presentations. Interpret abstract theoretical propositions, choose methodologies, justify conclusions and defend professional decisions to both IT and non-IT personnel via technical reports of professional standard and technical presentations. Team Work: You will learn to work as an effective and productive team member in a range of professional and social situations, in particular to: Work effectively in different roles, to form, manage, and successfully produce outcomes from teams whose members may have diverse cultural backgrounds and life circumstances and differing levels of technical expertise. Team Work: You will learn to work as an effective and productive team member in a range of professional and social situations, in particular to: Work effectively in different roles, to form, manage, and successfully produce outcomes from teams whose members may have diverse cultural backgrounds and life circumstances and differing levels of technical expertise. On successful completion of this course you should be able to: CLO 1: Compare, contrast, and apply the key algorithmic design paradigms: brute force, divide and conquer, decrease and conquer, transform and conquer, greedy, dynamic programming and iterative improvement; CLO 2: Compare, contrast, and apply key data structures: trees, lists, stacks, queues, hash tables and graph representations; CLO 3: Define, compare, analyse, and solve general algorithmic problem types: sorting, searching, graphs and geometric; CLO 4: Theoretically compare and analyse the time complexities of algorithms and data structures; and. CLO 5: Implement, empirically compare, and apply fundamental algorithms and data structures to real-world problems. CLO 1: Compare, contrast, and apply the key algorithmic design paradigms: brute force, divide and conquer, decrease and conquer, transform and conquer, greedy, dynamic programming and iterative improvement; CLO 2: Compare, contrast, and apply key data structures: trees, lists, stacks, queues, hash tables and graph representations; CLO 3: Define, compare, analyse, and solve general algorithmic problem types: sorting, searching, graphs and geometric; CLO 4: Theoretically compare and analyse the time complexities of algorithms and data structures; and. CLO 5: Implement, empirically compare, and apply fundamental algorithms and data structures to real-world problems",Algorithms and Analysis
COSC1076,"This course teaches programming principles, skills and practices for modern software development, continuing the study of software design and development in pre-requisite courses. Concepts in this include dynamic memory management, advanced typing and polymorphism, automated build systems, defensive programming, debugging, testing, and adherence to modern coding standards and practices. This course uses the C++ programming language for the practical implementation and practice of these concepts. This course may serve as a foundation for further studies in Computer Science and Software Engineering","This course contributes to the following program learning outcomes in. BP094 Bachelor of Computer Science, BP096 Bachelor of Software Engineering, BP094 Bachelor of Computer Science, BP096 Bachelor of Software Engineering, o BP215 Bachelor of Information Technology (Games and Graphics Programming), BH091 Bachelor of Engineering (Computer and Network Engineering) (Honours)/Bachelor of Computer Science, BH094 Bachelor of Engineering (Telecommunication Engineering)(Honours)/ Bachelor of Computer Science, BH091 Bachelor of Engineering (Computer and Network Engineering) (Honours)/Bachelor of Computer Science, BH094 Bachelor of Engineering (Telecommunication Engineering)(Honours)/ Bachelor of Computer Science, o BH107 Bachelor of Engineering (Telecommunications Engineering) (Honours) and is an option course in several postgraduate programs: Upon successful completion of this course you should be able to: Analyse and Solve computing problems; Design and Develop suitable algorithmic solutions using software concepts and skills both (a) introduced in this course, and (b) taught in pre-requisite courses; Implement and Code the algorithmic solutions in the C++ programming language. Discuss and Analyse software design and development strategies; Make and Justify choices in software design and development; Explore underpinning concepts as related to both theoretical and practical applications of software design and development using advanced programming techniques. Discuss, Analyse, and Use appropriate strategies to develop error-free software including static code analysis, modern debugging skills and practices, and C++ debugging tools. Implement small to medium software programs of varying complexity; Demonstrate and Adhere to good programming style, and modern standards and practices; Appropriately Use typical features of the C++ language include basic language constructs, abstract data types, encapsulation and polymorphism, dynamic memory management, dynamic data structures, file management, and managing large projects containing multiple source files; Adhere to the C++11/C++14/C++17 ISO language definition and features. Develop skills for further self-directed learning in the general context of software engineering and computer science, including decision-making about guided design of software; Adapt programming experience and language knowledge to and from other programming language contexts. Demonstrate and Adhere to the standards and practice of Professionalism and Ethics, such as described in the ACS Core Body of Knowledge (CBOK) for ICT Professionals. Analyse and Solve computing problems; Design and Develop suitable algorithmic solutions using software concepts and skills both (a) introduced in this course, and (b) taught in pre-requisite courses; Implement and Code the algorithmic solutions in the C++ programming language. Discuss and Analyse software design and development strategies; Make and Justify choices in software design and development; Explore underpinning concepts as related to both theoretical and practical applications of software design and development using advanced programming techniques. Discuss, Analyse, and Use appropriate strategies to develop error-free software including static code analysis, modern debugging skills and practices, and C++ debugging tools. Implement small to medium software programs of varying complexity; Demonstrate and Adhere to good programming style, and modern standards and practices; Appropriately Use typical features of the C++ language include basic language constructs, abstract data types, encapsulation and polymorphism, dynamic memory management, dynamic data structures, file management, and managing large projects containing multiple source files; Adhere to the C++11/C++14/C++17 ISO language definition and features. Develop skills for further self-directed learning in the general context of software engineering and computer science, including decision-making about guided design of software; Adapt programming experience and language knowledge to and from other programming language contexts. Demonstrate and Adhere to the standards and practice of Professionalism and Ethics, such as described in the ACS Core Body of Knowledge (CBOK) for ICT Professionals. Please note that postgraduate students are expected to demonstrate deeper knowledge and higher level skills than undergraduate students",Advanced Programming Techniques
COSC2759,"Current modern software development processes divulge require software to be deployed across different platforms, either physical hardware or virtual cloud-based, under a variety of possible operating systems and environments. So-called Dev Ops are important members of Software Engineering teams and take responsibility for packaging a system into a “containers” that can be easily deployed into different environments. Moreover, requirements regarding scalability, security and other system qualities require decisions to be made regarding deployment configuration and architecture. This course introduces concepts related to system release management and deployment, as well as factors impacting operational decisions. The material will refer to modern SE processes and current software tools, including workflows for continuous deployment, tools such as Docker, and reference architectures for ensuring a variety of system qualities under different software environments. Students taking this course will be well versed in the concepts and toolkit required by the Dev Ops role","On completion of this course you should be meeting the following Course Learning Outcomes (CLOs): Understand the importance of the Dev Ops role within modern Agile Software Engineering process; Understand the issues associated with deploying software systems, including code repository workflows and how to manage risk in a continuous deployment environment; Be capable to using modern tools to manage flexible deployment across a range of environments; Understand the issues involved in ensuring system qualities to meet the non-functional requirements of a system; Be capable of working closely with developers in a Software Development team and managing the deployment and operation of software systems produced by that team. Understand the importance of the Dev Ops role within modern Agile Software Engineering process; Understand the issues associated with deploying software systems, including code repository workflows and how to manage risk in a continuous deployment environment; Be capable to using modern tools to manage flexible deployment across a range of environments; Understand the issues involved in ensuring system qualities to meet the non-functional requirements of a system; Be capable of working closely with developers in a Software Development team and managing the deployment and operation of software systems produced by that team",Systems Deployment and Operations
ISYS1087,"Software Testing is an essential component of any organisation’s ability to build software quality. Software Testers are, in general, not programmers. This course presents the Foundational software testing goals as laid out by the International Software Testing Qualifications Board (ISTQB)and approaches to testing software through all phases of the Software Testing Lifecycle. The course material includes – software testing standards and metrics, types of testing (black-box and white-box), test planning, analysis, test case generation, estimating test resources, test scheduling, test execution, assessing and managing risk, test prioritisation, automation strategy, defect management, test execution. Software quality assurance activities will be discussed as part of a dynamic process that is flexible and constantly tuned to the changing needs of a project. Practical testing tools are will be used in labs. Tutorials will cover specific problems in more depth than possible during a lecture. Please note that if you take this course for a bachelor honours program, your overall mark in this course will be one of the course marks that will be used to calculate the weighted average mark (WAM) that will determine your award level. This applies to students who commence enrolment in a bachelor honours program from 1 January 2016 onwards. See the WAM information web page for more information.( http://www1.rmit.edu.au/browse;ID=eyj5c0mo77631) http://www1.rmit.edu.au/browse;ID=eyj5c0mo77631","This course is an option course so it is not required to contribute to Program Learning Outcomes (PLOs), though it should assist with your learning of several PLOs. Upon successful completion of this course you should be able to: CLO 1: Demonstrate knowledge of the fundamentals of software testing. CLO 2: Use fundamental techniques to implement techniques to extrapolate fundamental techniques in the framework of real world scenarios. CLO 3: Demonstrate competence in using software designed to assist in the software testing life cycle for given portions of the testing cycle. CLO 4: Present a collaborative approach in groups to map out how the group (a pseudo company) hopes to attract the contract to perform the oversight of Software Testing for a project or company. CLO 5: Communicate clearly and effectively using the technical language of the field correctly. CLO 1: Demonstrate knowledge of the fundamentals of software testing. CLO 2: Use fundamental techniques to implement techniques to extrapolate fundamental techniques in the framework of real world scenarios. CLO 3: Demonstrate competence in using software designed to assist in the software testing life cycle for given portions of the testing cycle. CLO 4: Present a collaborative approach in groups to map out how the group (a pseudo company) hopes to attract the contract to perform the oversight of Software Testing for a project or company. CLO 5: Communicate clearly and effectively using the technical language of the field correctly",Software Testing
COSC2391,"This course provides students with an advanced understanding of Object-Oriented software development with an emphasis on architecture and design and how this relates to programming and implementation. This course builds upon existing programming knowledge using Java as the implementation platform and assumes students already have a basic understanding of Java programming and basic OO concepts. Students will explore advanced OO concepts such as inheritance and polymorphism; abstract classes and interfaces; the Java Collection Framework (JCF), and generics/parameterized types. These topics will emphasise structural software quality evidenced through high cohesion and low coupling. This course will also cover Streams/Serialisation/Files and provide an introduction to parallel programming using threads. Students will also explore common OO design patterns such as MVC, Singleton and Facade and their application in User Interface Programming. This course serves as a pre-requisite for more specialized Java courses such as eCommerce, Web Services, Enterprise Architectures, and Mobile Application Development","This course contributes to development of the following capabilities. At the conclusion of this subject, the student should be able to",Further Programming
INTE2547,"Ethical hacking /penetration testing/vulnerability testing will present both the practical penetration and the theory behind the penetration. With the knowledge of computer systems and how devices communicate over the networks. You will learn how to: monitor the Internet traffic. exploit flawed systems to carry out network penetration on cracking WEP/WPA/WPA2. gain control over a computer system at both client the side and the server side, and. web penetration. monitor the Internet traffic. exploit flawed systems to carry out network penetration on cracking WEP/WPA/WPA2. gain control over a computer system at both client the side and the server side, and. web penetration. These skills will enable you to criticize security loopholes for internet related applications which will lead to the capabilities of developing secure digital products and safeguard the digital world",N/A. On completion of this course you should be able to: review essential components align with network security framework; identify security vulnerabilities in a particular application; perform a range of techniques for enhancing the security of web applications; manage the IT infrastructure to comply with security requirements. review essential components align with network security framework; identify security vulnerabilities in a particular application; perform a range of techniques for enhancing the security of web applications; manage the IT infrastructure to comply with security requirements,Security Testing
INTE1071,"The course is an introduction to secure e-commerce, focusing on the principles and concepts related to computer-based, electronic transactions. This course provides practical examples of how the security theories are applied in the digital world","Upon successful completion of this course you should be able to: CLO 1: Explain the range of threats to e-commerce security. CLO 2: Explain how cryptography can be, and is, used to achieve security. CLO 3: Describe the different standards in use for secure electronic commerce, such as certificates, MACs, etc. CLO 4: Describe and analyse standard security mechanisms. CLO 5: Analyse e-commerce systems currently in operation, such as electronic payment systems. CLO 6: Describe the different protocols in use for secure electronic commerce, such as SSL / TLS. CLO 1: Explain the range of threats to e-commerce security. CLO 2: Explain how cryptography can be, and is, used to achieve security. CLO 3: Describe the different standards in use for secure electronic commerce, such as certificates, MACs, etc. CLO 4: Describe and analyse standard security mechanisms. CLO 5: Analyse e-commerce systems currently in operation, such as electronic payment systems. CLO 6: Describe the different protocols in use for secure electronic commerce, such as SSL / TLS",Secure Electronic Commerce
