company_location,company_name,description,short_description,title
Thành phố Hồ Chí Minh,KMS Technology,"Established in 2009, KMS Technology is a U.S-based engineering and services company with development centers in Vietnam. KMS Technology is trusted by international clients for the superior quality of products and expertise of Vietnamese engineers. KMS builds and successfully launches its own software companies through its internal startup incubator, UpStar Labs. Most notable companies include QASymphony, Kobiton, Katalon, and Grove. Under the brand, KMS Solutions, the company serves the Asia Pacific region, offering technology solution consulting and bringing the most advanced and latest technologies to the Asian market. KMS is committed to making a long-lasting social impact by partnering with non-profit organizations that give disadvantaged students fair and better employment opportunities. The company regularly cooperates with universities, participates in IT training activities and specialized events, and sponsors scholarship programs in Vietnam. The company has received many prestigious industry awards and has been named one of the greatest places to work in Vietnam, Asia, and the U.S. for many years in a row. . Acknowledgement of Covid-19 pandemic. All KMSers will need to working from home to ensure safety. New member will get designated supports. Working devices will be delivered at door upon the new member's joining date. nboarding will be organized virtually by both the HR personnel and the new team. The HR personnel will be available for any support needs of the new member. Responsibilities. The Brilliant Career You Love. Are you passionate about innovative software development and be eager to sharpen your expertise every day. Do you want to be a part of the Great Team who creates awesome billion-dollar Software Products for U.S clients. Do you love to work in a. top-notch IT Company. in Vietnam with Good Investment into People Development. If yes, we strongly believe that you will enjoy each single working day at KMS Technology where you certainly contribute to the company's growth and sharpen your experience and expertise every day. In addition, you will also get chances t. Have the chance to work with talented developers, following high standard software development practices and CI/CD processes. Be trained and worked on complex systems using cutting-edge technology-based frameworks. Your key responsibilities. Love Coding. Follow Your Passion. Enjoy Every Single Working Day with Your Nice Colleagues and Our Kind Clients. Take Your Skill to the Next Level. The responsibility includes. Participate in all software development activities. Clarify requirements with client/team. Write high-quality code to implement software features or fix bugs and implement Unit Test. Report the status to client/team. Qualifications. Skills/experience You need to be Successful. Final year student/ new graduate/ less than 1 year of experience. Ready to work full-time officially. Good IT background, special on database, Python. Good critical and logical thinking skills. Commitment to excellence and self-improvement. English: good writing and reading skills. Benefits and Perks. BE YOUR BEST WITH KMS. Working in one of the Best Places to Work in Vietnam. Building large-scale & global software products. Working & growing with Passionate & Talented Team. Diverse careers opportunities with Software Outsourcing, Software Product Development, IT Solutions & Consulting. Attractive Salary and Benefits. Performance appraisals every year. nsite opportunities: short-term and long-term assignments in North American (U.S, Canada), Europe, Asia. Flexible working time. Various training on hot-trend technologies, best practices, and soft skills. Premium healthcare insurance for you and your loved ones. Company trip, big annual year-end party every year, team building, etc. Fitness & sports activities: football, tennis, table-tennis, badminton, yoga, etc. Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,…. Free in-house entertainment facilities (foosball, ping pong, gym, etc), coffee (latte, cappuccino, espresso) and snack (instant noodles, cookies, candies, etc. And much more. Send your. Resume including Academic Transcript. to join us and explore other fantastic things",Participate in all. development activities. Write high-quality code to implement. features or fix bugs and implement Unit Test,Fresher Python Software Engineer
Thành phố Hồ Chí Minh,TIKI.VN,"At Tiki, we believe in growing a sustainable business with strong fundamentals. It means providing customers with not only attractive promotion but also fast delivery (TikiNow 2-hours program) and excellent customer experience. Strong technology platform is a key enabler for doing all those with excellency and optimal cost. As a Principal Engineer of TikiNow Smart Logistics Tech team, you will be able to work on hard problems at scale in e-commerce such as inventory management for millions of products (in real-time) and order fulfillment for hundred thousands orders per day. Your work will have an impact on various solutions that manage our entire fleet of warehouses across Vietnam and many other crucial backend systems. In more details, you will. Work with Product Owner and software engineers to understand the requirements and constraints in order to design the architect and lead the implementation for new systems with scalability, reliability and high-performance target in mind. Work with software engineers and Infrastructure team to monitor and continuously optimize performance of existing systems. Provide coaching for software engineers in the team, foster strong engineering processes (code review, automation testing, CI/CD, monitoring & alert escalation ...) and contribute to hiring process for future talents. Collaborate with team working on new problems involving Machine Learning/AI such as Demand Forecasting, Path Finding and more. We have a strong team with a diversified background and a keen interest in being the best in e-commerce. You will gain more domain knowledge in what probably is one of the hottest IT sectors right now and have chances to encounter and make an impact at large scale. This might be a career building opportunity for you. Requirements. Strong programming experience and understanding of full software development life-cycle. Experience in Golang/Python/Java (is a plus. Deep understanding of good software design patterns mixed with a healthy passion for refactoring and keeping things simple. Proven experiences in system design for platforms at large scale with high performance, scalability and reliability target. Able to mentor and coach people. Customer-oriented and have a high bar of quality. Benefits. Competitive salary. Dynamic, open and challenging working environment. Modern office, cafeteria. Performance bonus based on performance. 13th month salary. Annual health check-up, premium healthcare and other special internal programs for Tikiers. Salary: Negotiation. Location: Hồ Chí Minh. Team: TNSL Engineering. Application deadline: 16/01 — 30/09/2021",Strong programming experience and understanding of full. development life-cycle. Work with. engineers and Infrastructure team to monitor and…,Principal Software Engineer (Fullfillment)
Thành phố Hồ Chí Minh,KMS Technology,"Company Description. Established in 2009, KMS Technology is a U.S-based engineering and services company with development centers in Vietnam. KMS Technology is trusted by international clients for the superior quality of products and expertise of Vietnamese engineers. KMS builds and successfully launches its own software companies through its internal startup incubator, UpStar Labs. Most notable companies include QASymphony, Kobiton, Katalon, and Grove. Under the brand, KMS Solutions, the company serves the Asia Pacific region, offering technology solution consulting and bringing the most advanced and latest technologies to the Asian market. KMS is committed to making a long-lasting social impact by partnering with non-profit organizations that give disadvantaged students fair and better employment opportunities. The company regularly cooperates with universities, participates in IT training activities and specialized events, and sponsors scholarship programs in Vietnam. The company has received many prestigious industry awards and has been named one of the greatest places to work in Vietnam, Asia, and the U.S. for many years in a row. . Acknowledgement of Covid-19 pandemic. All KMSers will need to working from home to ensure safety. New member will get designated supports. Working devices will be delivered at door upon the new member's joining date. nboarding will be organized virtually by both the HR personnel and the new team. The HR personnel will be available for any support needs of the new member. Job Description. The Brilliant Career You Love. Are you passionate about software testing and eager to sharpen your expertise every day. Do you want to be a part of the Great Team who creates awesome billion-dollar Software Products for U.S clients. Do you love to work in a top-notch IT Company in Vietnam with Good Investment into People Development. If yes, we strongly believe that you will enjoy each single working day at KMS Technology where you certainly contribute to the company's growth and sharpen your experience and expertise every day. In addition, you will also get chances t. Have the chance to work with talented developers, following high standard software development practices and CI/CD processes. Be trained and worked on complex systems using cutting-edge technology-based framework. Your key responsibilities. Participate in all software development activities following Scrum process. Design solutions and approach for software features or subsystems. Write high-quality code to implement software features or fix bugs. Perform unit testing, documentation and all other activities defined in Definition of Done before passing source code to Testing team. Communicate and report internally or directly to client on status or result of work. Qualifications. Skills/knowledge you need to be successful. Final year student/ new graduate/ less than 1 year of experience. Ready to work full-time officially. Passion for mobile development technology. Basic concept about UI/UX of mobile applications. Familiar and proven practices on any mobile programming language: Swift, Java, JavaScript. Strong fundamentals of OOP, data structure and algorithms. Good knowledge of Web API. Have a good understanding of projects being done in university or during the internship. Good English skills (especially reading and writing. Additional Information. BE YOUR BEST WITH KMS. Working in one of the Best Places to Work in Vietnam. Building large-scale & global software products. Working & growing with Passionate & Talented Team. Diverse careers opportunities with Software Outsourcing, Software Product Development, IT Solutions & Consulting. Attractive Salary and Benefits. Performance appraisals every year. nsite opportunities: short-term and long-term assignments in North America (U.S, Canada), Europe, Asia. Flexible working time. Various training on hot-trend technologies, best practices and soft skills. Premium healthcare insurance for you and your loved ones. Company trip, big annual year-end party every year, team building, etc. Fitness & sport activities: football, tennis, table-tennis, badminton, yoga, swimming…. Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,…. Free in-house entertainment facilities (foosball, ping pong, gym…), coffee (latte, cappuccino, espresso) and snack (instant noodles, cookies, candies…. And much more. Send your. Resume including Academic Transcript. to join us and let yourself explore other fantastic things",Participate in all. development activities following Scrum process. Design solutions and approach for. features or subsystems,Fresher Mobile Software Engineer
Thành phố Hồ Chí Minh,KMS Technology,"Established in 2009, KMS Technology is a U.S.-based engineering and services company with development centers in Vietnam. KMS Technology is trusted by international clients for the superior quality of products and expertise of Vietnamese engineers. KMS builds and successfully launches its own software companies through its internal startup incubator, KMS Labs. Most notable companies include QASymphony, Kobiton, Katalon, and Grove. Under the brand, KMS Solutions, the company serves the Asia Pacific region, offering technology solution consulting and bringing the most advanced and latest technologies to the Asian market. KMS is committed to making a long-lasting social impact by partnering with non-profit organizations that give disadvantaged students fair and better employment opportunities. The company regularly cooperates with universities, participates in IT training activities and specialized events, and sponsors scholarship programs in Vietnam. The company has received many prestigious industry awards, and has been named one of the greatest places to work in Vietnam, Asia, and the U.S. for many years in a row. Join us to write your own success stories. . Acknowledgement of Covid-19 pandemic. All KMSers will need to working from home to ensure safety. New member will get designated supports. Working devices will be delivered at door upon the new member's joining date. nboarding will be organized virtually by both the HR personnel and the new team. The HR personnel will be available for any support needs of the new member. Responsibilities. Your Key Responsibilities. Love Coding. Follow Your Passion. Enjoy Every Single Working Day with Your Nice Colleagues and Our Kind Clients. Take Your Skill to the Next Level. The responsibility includes: design, coding, troubleshooting and working with project team as well as customers on features/bug fixes. Qualifications. General requirements. At least Intermediate level of English level. Ability to communicate effectively with team members. Ability to independently manage time and priorities while meeting deadlines. Sharp troubleshooting, problem solving, and analytical abilities. Willingness to explore new technologies. Ability to handle multiple tasks. Technical requirements. 1+ years of working experience with Python development. Experience with one of Python web frameworks such as Django/ Flask/CherryPy, etc. Have good knowledge and experience with databases; PostgreSQL experience preferred. Strong understanding of object-oriented, design patterns and programming principles. Good knowledge of web service development (RESTful. Nice to have/plus. Experience in working with HTML, CSS, and JavaScript, TypeScript. Experience with Python data processing. Experience with Microservices. Experience with NoSQL. Experience in agile software development. Experience with OWASP security best practices. Benefits and Perks. BE YOUR BEST WITH KMS. Working in one of the Best Places to Work in Vietnam. Building large-scale & global software products. Working & growing with Passionate & Talented Team. Diverse careers opportunities with Software Outsourcing, Software Product Development, IT Solutions & Consulting. Attractive Allowance and Benefits. Flexible working time. Various training on hot-trend technologies, best practices, and soft skills. Big annual year-end party every year, team building, etc. Fitness & sport activities: football, tennis, table-tennis, badminton, yoga, swimming…. Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,…. Free in-house entertainment facilities (foosball, ping pong, gym…), coffee (latte, cappuccino, espresso) and snack (instant noodles, cookies, candies…. And much more, join us and let yourself explore other fantastic things",KMS Technology is trusted by international clients for the superior quality of products and expertise of Vietnamese engineers,Python Software Engineer
Thành phố Hồ Chí Minh,KMS Technology,"Company Description. Established in 2009, KMS Technology is a U.S.-based engineering and services company with development centers in Vietnam. KMS Technology is trusted by international clients for the superior quality of products and expertise of Vietnamese engineers. KMS builds and successfully launches its own software companies through its internal startup incubator. KMS Labs. Most notable companies include QASymphony, Kobiton, Katalon, and Grove. Under the brand, KMS Solutions, the company serves the Asia Pacific region, offering technology solution consulting and bringing the most advanced and latest technologies to the Asian market. KMS is committed to making a long-lasting social impact by partnering with non-profit organizations that give disadvantaged students fair and better employment opportunities. The company regularly cooperates with universities, participates in IT training activities and specialized events, and sponsors scholarship programs in Vietnam. The company has received many prestigious industry awards, and has been named one of the greatest places to work in Vietnam, Asia, and the U.S. for many years in a row. Acknowledgement of Covid-19 pandemic. All KMSers will need to work from home to ensure safety. New member will get designated supports. Working devices will be delivered at door upon the new member's joining date. nboarding will be organized virtually by both the HR personnel and the new team. The HR personnel will be available for any support needs of the new member. . Acknowledgement of Covid-19 pandemic. All KMSers will need to working from home to ensure safety. New member will get designated supports. Working devices will be delivered at door upon the new member's joining date. nboarding will be organized virtually by both the HR personnel and the new team. The HR personnel will be available for any support needs of the new member. Job Description. The Brilliant Career You Love. Your key responsibilities. Love Coding. Follow Your Passion. Enjoy Every Single Working Day with Your Nice Colleagues and Our Kind Clients. Take Your Skill to the Next Level. The responsibility includes: design, coding, troubleshooting and working with project team as well as customers on features/bug fixes. Qualifications. General requirements. At least intermediate level of English level. Likely having 2+ years of experience depending on how fast of your learning and developing technical capability. Ability to self-learn and adapt to new technologies quickly. Technical requirements. Competent .NET/ .NET Core. Good experience with T-SQL (MS SQL Server. Good knowledge of OOP. Basic knowledge and experience writing unit tests with mocking. Nice to have. Good at JavaScript skills – having experience of any JavaScript framework e.g. Knockout, Angular, ReactJS. Basic knowledge or experience of using cloud platform (Azure/AWS/GCP. Additional Information. Perks you Enjoy. Working in one of the Best Places to Work in Vietnam. Building large-scale & latest technology software products. Working & Developing with Passionate & Talented Team. Attractive Salary and Benefits. Flexible working time. Premium health care insurance for you and your loved ones. Company trip in every summer, big annual year-end party every year, team building, etc. Fitness & sports activities: football, tennis, table-tennis, badminton, yoga, swimming…. Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,…. Free in-house entertainment facilities (foosball, ping pong, gym…), coffee (latte, cappuccino, espresso) and snack (instant noodles, cookies, candies…. And much more, join us and let yourself explore other fantastic things",Building large-scale & latest technology. products. KMS Technology is trusted by international clients for the superior quality of products and…,.NET Software Engineer
Thành phố Hồ Chí Minh,Knowme,"We are looking for a junior software developer to join our team in Vietnam. If you are passionate, and eager to learn, this is the perfect place. Kinh nghiệm. React Native: 1-2 năm (Preferred. Javascript: 1-2 năm (Preferred. Language: Vietnamese. Requirements. Experience in mobile development (React Native. Experience in full stack development. Experience with APIs integration. Knowledge of Relational & Non-relational databases. Nice to have. Basic English (preferred. Familiarity with AWS products and services. Knowledge of GraphQL is a plus. Knowledge of the software development lifecycle and its process. Experience working in a team. Write clean code. Why us. Friendly and cool work environment. We are flexible on a lot of things. You will get a lot of responsibility and get a chance to grow quickly. Wear many hats! Everyone does a bit of everything here. Work remotely with international and local engineers. Lương. 600 USD - $900 USD (Flat rate) per month. Raise over 2 years. Job type. Full-time (Contract), remote. Loại hình công việc: Toàn thời gian, Cố định. Làm việc từ xa. Có",Knowledge of the. development lifecycle and its process. React Native: 1-2 năm (Preferred. Javascript: 1-2 năm (Preferred,Software Engineer
Thành phố Hồ Chí Minh,Grove,"Company Description. About KMS. Established in 2009, KMS Technology started as a U.S.-based engineering and software services company with development centers in Vietnam. Over 12 years of operation, the company has been trusted by international clients for the superior quality of Vietnamese engineers' products and expertise. Besides providing services, KMS builds and successfully launches its own software companies through its internal startup incubator, KMS Labs. The most notable companies with millions of users worldwide include QASymphony, Kobiton, Katalon, and Grove. About Grove. Grove HR is an all-in-one HR platform that helps small and medium businesses digitize their Core HR so that they create attractive Digital Employee Experiences. Started in Vietnam, Grove is proudly powering HR at 14,600+ SMBs in more than 10 countries and become one of the world’s favorite HR software. We’re equipping companies across the globe with the right HR Technology to build engaging and personalized journeys for their employees. Eventually, our mission is to make work. inspiring and fulfilling. at scale. At Grove, we believe that being an. employee-centric. company is the key to sustainable success. We constantly innovate our working environment as a long-term commitment. By bringing talented individuals working together in a dynamic environment that enables changes and innovations, we believe success will happen. . Acknowledgement of Covid-19 pandemic. All KMSers will need to working from home to ensure safety. New member will get designated supports. Working devices will be delivered at door upon the new member's joining date. nboarding will be organized virtually by both the HR personnel and the new team. The HR personnel will be available for any support needs of the new member. Job Description. Your key responsibilities. Develop features and enhancements on existing products based on defined requirements and designs. Follow given procedures and instructions to produce well-designed, testable and clean code. Participate in numerous activities for building software products: requirement analysis/enhance UI-UX design / Scrum process / customer support / improve devops infrastructure / …. Actively contribute ideas and efforts to product success. Perform other duties as assigned. Qualifications. Skills/knowledge you need to be successful. General. 4th year/new graduate students majoring in Computer Science/Software Engineering/related fields. Be READY to work full-time. Required technical skills. Experience in Front-end (HTML, CSS, JavaScript/TypeScript) or Back-end (Nodejs, Java, C++, .NET, Ruby on Rails, etc. Knowledge in SQL or NoSQL database. Knowledge of data structure and algorithm. Nice to have technical skills. Familiar with building web applications at the back-end using popular NodeJS web frameworks such as Express, or NestJS or Koa, or LoopBack, etc. Familiar with building web applications at front-end frameworks such as AngularJS, React, VueJS, etc. Familiar with building mobile applications at framework such as React native. Understand practice for high code quality: maintainability, reusability, code review, unit testing, etc. Possess good understanding of design patterns, object-oriented programming, architecture patterns. Contribute/ author apps or libraries on developer public communities like Github, Gitlab, etc. Comfortable working in a product development environment. Soft skills. Strong motivation to drive impact by making product improvements. Comfort with collaboration, open communication and reaching across functional borders. Good at problem-solving skill. Good at critical thinking skill. Proactiveness (self-starter), good communication and fast learning. Good verbal and written communication skills in English. Additional Information. Perks You'll Enjoy. Global software products company. Working & growing with Passionate & Talented Team. Diverse career opportunities with Engineering, Product Development, Business Development, Customer Success/Support...team. Attractive Salary and Benefits. Flexible working time. Various training on state-of-the-art technologies, practices, and soft skills. Premium healthcare insurance for you and your loved ones. Company trip, big annual year-end party every year, team building, etc. Fitness & sports activities: football, tennis, table tennis, badminton, yoga, swimming…. Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,…. Free in-house entertainment facilities (frisbee, foosball, gym…), coffee, fruit, and snack (instant noodles, cookies, candies…. Join us and let yourself explore other fantastic things",Participate in numerous activities for building. products: requirement analysis/enhance UI-UX design / Scrum process / customer support / improve devops…,"Fresher Software Engineer, Grove"
Thành phố Hồ Chí Minh,LogiGear,"LogiGear provides global solutions for software testing, focusing on test automation, and software development. For more than two decades, we've worked with hundreds of companies, from Fortune 500 to startups, delivering unique testing solutions and software/applications that meet their unique needs. We double their test coverage, cut test time in half, improve quality and reduce cost. LogiGear VN’s Service Delivery Centers are integrated arms that provide test engineering and software development services, enabling LogiGear to deliver high quality services to our customers in a highly cost effective manner. Job Summary. This position functions both as a BSE in communication between Vietnam and Japan teams as well as customers in Japan, and as a Bridge Business Associate (BBA) to coordinate and support for business development, partner activities, sales and pre-sales/marketing programs, and customer service. The person should be experienced as a bridge engineer in software development and/or testing industry and a proven excellent communicator in Japanese – Vietnamese – English among global teams. ROLES and RESPONSIBILITIES: included but not limited t. Be a communication bridge between Vietnam and Japan teams (partner and customers), and the US teams as needs arise, to ensure every conversation/meeting is effectively conducted. Work with LGVN management teams and LGJP management teams to coordinate collaborations. Support sales, pre-sales and marketing activities where Japanese language is used. Coordination role in. Sales, pre-sales, contractual matters with partners, clients. Project teams for requirement definition and execution coordination. Logistical arrangement as required on each project. Translate documents, requirements, and other corporate and project artifacts. Work with business analyst and understand project requirements and interpret them comprehensively to the teams when required. Fast troubleshoot language based requirements for engineering teams. Support and review project status reports and other documents before sending out. Hand-on peer support: can be a test engineer when necessary. Be a Project Lead or assist Project Lead, Delivery Manager to provide and maintain excellent service quality to clients. REQUIREMENTS. Experienced in service delivery to Japanese clients. C++, java, PhP, C#, and other contemporary languages. Familiar with AGILE/Scrum. Familiar with JIRA, TFS. Experienced in test automation, coding skill is preferable. Excellent MS Office. Details & results oriented. Excellent interpersonal & teamwork skills. Excellent critical thinking & strategic thinking. High sense of responsibility. Excellent negotiation & problem-solving skills. Able to work under high pressure. Willing to travel domestically and internationally when required. EDUCATIONAL REQUIREMENTS. Bachelor degree majored in software engineering. Masters is a plus. At least 3 years of experience as BSE and 3+ years in multiple software development and/or testing projects management. Language Skills. For BSE: N2 is a must. For common TE: English proficiency (TOEIC 500+), Japanese N5/N4/N3 is a",Bachelor degree majored in. engineering. The person should be experienced as a bridge. in. development and/or testing industry and a…,BrSE Bridge Software Engineer (N2 Certificate)
Thành phố Hồ Chí Minh,KAL,"Salary. Competitive. Location. Ho Chi Minh City, Vietnam. Job summary. As a member of our global engineering department, you will be responsible for creating a wide array of new and innovative products, while working in collaboration with customers, partners and colleagues from our other global offices including Sydney, Mumbai, Cincinnati, Chennai, Edinburgh, Verona, Bucharest, Istanbul, Dublin and Mexico City. Skills and experience required. Must be educated to degree level in Computer Science, Software Engineering, or other related engineering degrees. At least 2 years of experience in a similar role. Good knowledge of Microsoft Windows. Strong proficiency in C# and/or C++ beneficial. Experience with UI technologies like Angular or React would be advantageous. Willingness to travel internationally visiting various KAL offices and customer sites. Fluency in English is essential, as English is our working language. Other languages are highly desirable. Must currently have the legal right to live and work in Vietnam. Core responsibilities. Dealing with multiple tasks and projects. Solving problems quickly and accurately. Showing creativity and interest in coming up with new ideas that improve our service and move our solutions forward. Interacting with a team of experienced and motivated people, offering guidance and recommendations for technical decision making, collaborating with our test team to validate and verify the quality of the solutions, preparing status reports and updating your managers. Showing continuing commitment to a quality approach to software development by keeping track of the latest technology and design concepts. About KAL. KAL is a world-leading ATM software provider, which is leading the market in solutions for bank ATMs, self-service kiosks, and bank branch networks. With clients in over 80 countries, our multinational workforce is the key to our success. This team allows us to understand local customer needs as well as the global challenges our suite of ATM software products needs to address to enable us to deliver best-in-market products to the world’s leading banks. To apply, please send your CV and salary history t. recruitment@kal.com. Job Type: Full-time",Showing continuing commitment to a quality approach t. development by keeping track of the latest technology and design concepts,Graduate Software Engineer
Thành phố Hồ Chí Minh,KMS Technology,"About KMS. Established in 2009, KMS Technology started as a U.S.-based engineering and software services company with development centers in Vietnam. Over 12 years of operation, the company has been trusted by international clients for the superior quality of Vietnamese engineers' products and expertise. Besides providing services, KMS builds and successfully launches its own software companies through its internal startup incubator, KMS Labs. The most notable companies with millions of users worldwide include QASymphony, Kobiton, Katalon, and Grove. About Grove. Grove HR is an all-in-one HR platform that helps small and medium businesses digitize their Core HR so that they create attractive Digital Employee Experiences. Started in Vietnam, Grove is proudly powering HR at 14,600+ SMBs in more than 10 countries and become one of the world’s favorite HR software. We’re equipping companies across the globe with the right HR Technology to build engaging and personalized journeys for their employees. Eventually, our mission is to make work. inspiring and fulfilling. at scale. At Grove, we believe that being an. employee-centric. company is the key to sustainable success. We constantly innovate our working environment as a long-term commitment. By bringing talented individuals working together in a dynamic environment that enables changes and innovations, we believe success will happen. Responsibilities. Develop features and enhancements on existing products based on defined requirements and designs. Follow given procedures and instructions to produce well-designed, testable and clean code. Participate in numerous activities for building software products: requirement analysis/enhance UI-UX design / Scrum process / customer support / improve devops infrastructure / …. Actively contribute ideas and efforts to product success. Perform other duties as assigned. Qualifications. General. 4th year/new graduate students majoring in Computer Science/Software Engineering/related fields. Be READY to work full-time. Required technical skills. Experience in Front-end (HTML, CSS, JavaScript/TypeScript) or Back-end (Nodejs, Java, C++, .NET, Ruby on Rails, etc. Knowledge in React Native. Knowledge in SQL or NoSQL database. Knowledge of data structure and algorithm. Nice to have technical skills. Familiar with building web applications at the back-end using popular NodeJS web frameworks such as Express, or NestJS or Koa, or LoopBack, etc. Familiar with building web applications at front-end frameworks such as AngularJS, React, VueJS, etc. Understand practice for high code quality: maintainability, reusability, code review, unit testing, etc. Possess good understanding of design patterns, object-oriented programming, architecture patterns. Contribute/ author apps or libraries on developer public communities like Github, Gitlab, etc. Comfortable working in a product development environment. Soft skills. Strong motivation to drive impact by making product improvements. Comfort with collaboration, open communication and reaching across functional borders. Good at problem-solving skill. Good at critical thinking skill. Proactiveness (self-starter), good communication and fast learning. Good verbal and written communication skills in English. Benefits and Perks. Perks You'll Enjoy. Global software products company. Working & growing with Passionate & Talented Team. Diverse career opportunities with Engineering, Product Development, Business Development, Customer Success/Support...team. Attractive Salary and Benefits. Flexible working time. Various training on state-of-the-art technologies, practices, and soft skills. Premium healthcare insurance for you and your loved ones. Company trip, big annual year-end party every year, team building, etc. Fitness & sports activities: football, tennis, table tennis, badminton, yoga, swimming…. Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,…. Free in-house entertainment facilities (frisbee, foosball, gym…), coffee, fruit, and snack (instant noodles, cookies, candies…. Join us and let yourself explore other fantastic things",Participate in numerous activities for building. products: requirement analysis/enhance UI-UX design / Scrum process / customer support / improve devops…,"Fresher Mobile Software Engineer (React Native), Grove"
